cycle	penal	iter	obj
1	3	1	430.645
1	3	2	273.234
1	3	3	197.301
1	3	4	161.58
1	3	5	148.766
1	3	6	138.74
1	3	7	130.507
1	3	8	123.123
1	3	9	117.947
1	3	10	114.087
1	3	11	110.682
1	3	12	107.642
1	3	13	104.795
1	3	14	102.107
1	3	15	99.6286
1	3	16	97.2888
1	3	17	94.8179
1	3	18	92.3548
1	3	19	90.5651
1	3	20	89.4068
1	3	21	88.5996
1	3	22	88.0664
1	3	23	87.6438
1	3	24	87.3516
1	3	25	87.1086
1	3	26	86.9224
1	3	27	86.7958
1	3	28	86.6895
1	3	29	86.6052
1	3	30	86.5197
1	3	31	86.4554
1	3	32	86.4133
1	3	33	86.3606
1	3	34	86.3069
1	3	35	86.2725
1	3	36	86.2506
1	3	37	86.2161
1	3	38	86.1968
1	3	39	86.1839
1	3	40	86.1764
1	3	41	86.1526
1	3	42	86.1436
1	3	43	86.1195
1	3	44	86.111
1	3	45	86.1082
1	3	46	86.0891
1	3	47	86.0849
1	3	48	86.0886
1	3	49	86.0749
1	3	50	86.0765
2	3	51	82.1693
2	3	52	80.9562
2	3	53	79.9685
2	3	54	79.2036
2	3	55	78.7368
2	3	56	78.5182
2	3	57	78.3614
2	3	58	78.2408
2	3	59	78.153
2	3	60	78.1521
3	3	61	74.7435
3	3	62	73.8887
3	3	63	73.3491
3	3	64	72.9208
3	3	65	72.7265
3	3	66	72.6356
3	3	67	72.5621
3	3	68	72.4922
3	3	69	72.4964
3	3	70	72.488
3	3	71	72.4191
3	3	72	72.4306
3	3	73	72.4346
3	3	74	72.4321
3	3	75	72.4323
4	3	76	70.5075
4	3	77	70.3327
4	3	78	70.1722
4	3	79	70.0371
4	3	80	69.9235
4	3	81	69.8289
4	3	82	69.9266
4	3	83	69.777
4	3	84	69.8567
4	3	85	69.8783
4	3	86	69.7312
4	3	87	69.7854
4	3	88	69.8003
4	3	89	69.8124
4	3	90	69.8251
4	3	91	69.6873
4	3	92	69.7282
4	3	93	69.7484
4	3	94	69.7622
4	3	95	69.7733
4	3	96	69.7822
4	3	97	69.7888
4	3	98	69.6612
4	3	99	69.6934
4	3	100	69.7115
4	3	101	69.7243
4	3	102	69.7343
4	3	103	69.7419
4	3	104	69.7485
4	3	105	69.7548
4	3	106	69.7602
4	3	107	69.7653
4	3	108	69.6546
4	3	109	69.6808
4	3	110	69.6968
4	3	111	69.7079
4	3	112	69.7161
4	3	113	69.7226
4	3	114	69.7275
4	3	115	69.7323
4	3	116	69.7364
4	3	117	69.7403
4	3	118	69.7437
4	3	119	69.7471
4	3	120	69.7504
4	3	121	69.6437
4	3	122	69.6668
4	3	123	69.6814
4	3	124	69.6917
4	3	125	69.6995
